################################################
##                   SPRank                   ##
################################################
in_rec:          3D2X-A-85-D2X/amber/rec.amber.mol2
in_cpd:          3D2X-A-85-D2X/amber/lig_charged.amber.mol2
in_poses:        3D2X-A-85-D2X/pose/pose.mol2
stats:           0
verbose:         0
Load receptor: default_name from 3D2X-A-85-D2X/amber/rec.amber.mol2
--> heavy atom num: 1652
Load compound: MOL from 3D2X-A-85-D2X/amber/lig_charged.amber.mol2
--> heavy atom num: 26
************************************************
*                PARAMETER INFO                *
************************************************
T: 25
rt_to_kcal_per_mol: 0.593
gamma_SASA: 0.0054
r_water: 1.4
pairwise_dis_upper_bound: 10
pairwise_bin_size: 0.5
pairwise_bin_num: 20
pairwise_potentials_map.size(): 348
sasa_points.size(): 8
************************************************
rdock_04_98 -548.275 -3.633 -33.897
rdock_04_99 -383.845 -4.383 -20.531
rdock_04_100 -361.740 -4.172 -28.137
rdock_04_101 -377.451 -3.888 -38.088
rdock_04_102 -276.894 -3.838 -21.612
rdock_04_103 -554.293 -4.144 -39.290
rdock_04_104 -351.323 -4.099 -27.386
rdock_04_105 -224.856 -3.782 -2.890
rdock_04_106 -305.250 -4.140 -24.825
rdock_04_107 -325.553 -3.765 -33.110
rdock_04_108 -285.774 -3.929 -11.694
rdock_04_109 -236.609 -3.986 -8.809
rdock_04_110 -518.322 -4.107 -28.095
rdock_04_111 -391.238 -3.405 -17.973
rdock_04_112 -489.233 -4.042 -27.906
rdock_04_113 -476.460 -4.085 -33.937
rdock_04_114 -292.696 -3.977 -14.832
rdock_04_115 -520.052 -4.091 -49.067
rdock_04_116 -340.329 -3.609 -28.256
rdock_04_117 -396.211 -4.077 -36.000
rdock_04_118 -370.508 -4.290 -21.708
rdock_04_119 -563.271 -4.144 -39.031
rdock_04_120 -469.371 -4.236 -40.683
rdock_04_121 -331.648 -4.043 -2.194
rdock_04_122 -398.565 -4.251 -13.730
rdock_04_123 -542.087 -4.167 -30.277
rdock_04_124 -240.482 -4.078 -14.980
rdock_04_125 -296.276 -4.129 5.408
rdock_04_126 -505.336 -3.873 -35.237
rdock_04_127 -373.209 -3.942 -23.428
rdock_04_128 -324.472 -3.840 -24.719
rdock_04_129 -261.074 -3.602 -2.326
rdock_04_130 -280.212 -4.156 -19.882
rdock_04_131 -175.933 -3.885 -15.607
rdock_04_132 -540.623 -4.203 -37.469
rdock_04_133 -314.723 -3.930 -24.744
rdock_04_134 -359.065 -3.612 -20.919
rdock_04_135 -397.302 -4.275 -29.178
rdock_04_136 -270.934 -3.978 -2.088
rdock_04_137 -340.363 -4.145 -36.833
rdock_04_138 -344.380 -3.996 -9.377
rdock_04_140 -358.646 -4.382 -4.080
rdock_04_141 -388.446 -3.953 -21.461
rdock_04_142 -515.172 -4.155 -31.360
rdock_04_143 -450.178 -4.166 -19.644
rdock_04_144 -359.941 -4.161 -25.876
rdock_04_145 -467.330 -3.495 -19.927
rdock_04_146 -350.570 -4.139 -1.669
rdock_04_147 -560.104 -3.978 -38.966
rdock_04_148 -473.301 -4.109 -35.062
rdock_04_149 -550.862 -4.032 -38.228
rdock_04_150 -457.099 -4.260 -26.180
rdock_05_1 -561.107 -4.032 -33.947
rdock_05_2 -342.502 -3.894 -25.410
rdock_05_3 -334.858 -3.846 -33.294
rdock_05_4 -330.533 -4.093 -20.321
rdock_05_5 -378.686 -3.959 -37.061
rdock_05_6 -384.101 -3.858 -35.898
rdock_05_7 -382.867 -4.161 -20.613
rdock_05_8 -348.294 -4.186 -34.822
rdock_05_9 -475.585 -3.486 -29.700
rdock_05_10 -300.090 -4.193 -25.841
rdock_05_11 -280.257 -4.039 -13.109
rdock_05_12 -307.090 -3.906 -28.546
rdock_05_13 -327.546 -3.688 1.124
rdock_05_14 -326.766 -4.260 -28.895
rdock_05_15 -278.593 -3.511 -17.482
rdock_05_16 -392.124 -4.093 -27.882
rdock_05_17 -357.059 -4.230 -33.075
rdock_05_18 -279.712 -3.961 -6.999
rdock_05_19 -270.886 -4.069 -30.860
rdock_05_20 -491.523 -4.169 -33.484
rdock_05_21 -399.263 -4.113 -29.066
rdock_05_22 -517.314 -4.043 -30.232
rdock_05_23 -330.772 -4.447 -28.135
rdock_05_24 -272.564 -4.358 -14.118
rdock_05_25 -392.016 -4.165 -31.683
rdock_05_26 -377.187 -4.403 -30.989
rdock_05_27 -414.055 -4.181 -14.779
rdock_05_28 -362.002 -4.144 -22.056
rdock_05_29 -357.696 -4.077 -28.964
rdock_05_30 -296.635 -4.098 -18.435
rdock_05_31 -261.446 -3.858 -0.983
rdock_05_32 -253.507 -4.386 -15.906
rdock_05_33 -226.476 -3.933 -8.067
rdock_05_34 -300.185 -4.119 -29.106
rdock_05_35 -261.447 -4.031 -24.811
rdock_05_36 -473.017 -4.108 -20.475
rdock_05_37 -349.379 -3.905 -34.236
rdock_05_38 -369.819 -4.048 -22.482
rdock_05_39 -233.838 -4.118 -17.175
rdock_05_40 -261.362 -4.169 -26.755
rdock_05_41 -351.521 -4.337 -19.213
rdock_05_42 -330.392 -4.042 -32.961
rdock_05_43 -380.851 -4.282 -31.135
rdock_05_44 -332.476 -4.048 -12.191
rdock_05_45 -511.783 -4.379 -35.576
rdock_05_46 -234.082 -4.061 -19.275
rdock_05_47 -336.353 -4.184 -27.573
rdock_05_48 -199.721 -3.697 4.327
rdock_05_49 -334.441 -3.924 -19.314
rdock_05_50 -523.358 -4.160 -31.423
rdock_05_51 -394.978 -4.348 -35.520
rdock_05_52 -222.287 -3.989 -22.197
rdock_05_53 -256.408 -4.444 -26.254
rdock_05_54 -329.571 -4.492 -16.677
rdock_05_55 -392.439 -4.069 -35.549
rdock_05_56 -396.607 -4.212 -37.444
rdock_05_57 -252.553 -3.805 -2.779
rdock_05_58 -350.869 -4.057 -18.439
rdock_05_59 -377.979 -4.145 -19.498
rdock_05_60 -437.093 -4.299 -17.000
rdock_05_61 -337.823 -3.792 -29.104
rdock_05_62 -317.173 -4.055 -30.978
rdock_05_63 -570.492 -4.112 -31.936
rdock_05_64 -445.069 -4.343 -22.157
rdock_05_65 -215.621 -4.106 -12.026
rdock_05_66 -518.812 -3.659 -35.215
rdock_05_67 -345.839 -3.776 -25.634
rdock_05_68 -507.804 -4.140 -34.865
rdock_05_69 -379.462 -4.111 -20.749
rdock_05_70 -259.503 -3.843 -9.147
rdock_05_71 -507.309 -4.253 -21.237
rdock_05_72 -333.321 -3.966 -18.787
rdock_05_73 -317.218 -4.350 -20.945
rdock_05_74 -343.228 -4.135 -33.926
rdock_05_75 -229.971 -3.966 -1.872
rdock_05_76 -331.476 -4.143 -20.393
rdock_05_77 -346.159 -4.102 -15.036
rdock_05_78 -227.077 -3.995 -17.915
rdock_05_79 -391.022 -4.045 -36.959
rdock_05_80 -518.828 -4.262 -34.700
rdock_05_81 -494.783 -4.207 -32.582
rdock_05_82 -404.197 -4.186 -22.678
rdock_05_83 -314.399 -3.922 -29.350
rdock_05_84 -270.493 -3.756 -1.934
rdock_05_85 -267.754 -4.164 -21.272
rdock_05_86 -351.674 -4.285 -21.142
